no,lokasi,mutu,semen,air,pasir,batu1-2,batu2-3,age,fc_aktual
1,madiun,k 300,330,188,782,400,650,28,25.00
2,ringin anom,k 300,330,188,782,400,650,28,25.00
3,base camp,k 300,330,188,782,400,650,28,25.00
4,gerih,k 300,310,188,852,950,50,28,25.00
5,gentong,k 300,310,188,852,950,50,28,25.00
6,jenangan,k 300,310,188,852,950,50,28,25.00
7,siliwangi,k 250,273,188,919,400,550,28,20.83
8,bringin,k 250,273,188,919,400,550,28,20.83
9,karangjati,k 250,273,188,919,400,550,28,20.83
10,widodaren,k 250,273,188,919,400,550,28,20.83
11,smp 1 geneng,k 250,270,188,922,400,550,28,20.83
12,pojok,k 250,270,188,922,400,550,28,20.83
13,tejo,k 250,270,188,922,400,550,28,20.83
14,p ropingi,k 250,270,188,922,400,550,28,20.83
15,tepas,k 250,270,188,922,400,550,28,20.83
16,madiun,k 125,130,188,1012,400,500,28,10.42
17,ropingi,k 125,130,188,1012,400,500,28,10.42
18,geneng,k 125,130,188,1012,400,500,28,10.42
19,jagir,k 125,130,188,1012,400,500,28,10.42
20,koperasi sidorejo,k 125,130,188,1012,400,500,28,10.42
21,pak katon,k 225,230,188,1010,602,300,28,18.75
22,koperasi sidorejo,k 225,230,188,1010,602,300,28,18.75
23,koperasi kersikan,k 225,230,188,1010,602,300,28,18.75
24,pak ropingi,k 200,210,188,1032,400,500,28,16.67
25,madiun,k 300,310,188,890,400,562,28,25.00
26,geneng,k 250,273,188,1069,800,0,28,20.83
27,mbg kendal,k 250,273,188,1069,800,0,28,20.83
28,pak edi tepas,k 250,270,188,1072,800,0,28,20.83
29,sonde,k 250,270,188,1072,800,0,28,20.83
30,beran,k 250,270,188,1072,800,0,28,20.83
31,baderan,k 250,270,188,1072,800,0,28,20.83
32,pak aji ngawi,k 250,270,188,1072,800,0,28,20.83
33,guyung,k 250,270,188,1072,800,0,28,20.83
34,madiun jl pahlawan,k 175,273,188,1069,800,0,28,14.58
35,madiun proliman,k 175,273,188,1069,800,0,28,14.58
36,grudo,k 175,273,188,1069,800,0,28,14.58
37,koperasi sidorejo,k 225,230,188,1112,800,0,28,18.75
38,margomulyo,k 175,180,188,1062,800,0,28,14.58
39,pak andri,k 125,130,188,1112,800,0,28,10.42
40,mbg tambakromo,k 175,180,188,1061,800,0,28,14.58
41,mbg tawun,k 175,180,188,1061,800,0,28,14.58
42,sidorejo,k 175,180,188,1061,800,0,28,14.58
43,pak ropingi,k 125,130,188,1112,800,0,28,10.42
44,sidorejo,k 125,130,188,1112,800,0,28,10.42
45,pak andri,k 125,130,188,1112,800,0,28,10.42
46,jatigembol,k 400,430,188,830,900,0,28,33.33
47,grudo,k 175,180,188,1059,600,202,28,14.58
48,pak yatimin,k 250,270,188,1071,800,0,28,20.83
49,grudo,k 250,273,188,1068,800,0,28,20.83
50,mbg tawun,k 225,230,188,1112,800,0,28,18.75
51,mbg geneng,k 350,350,188,911,900,0,28,29.17
